投稿日時,曜日,メディアタイプ,フォロワー数,Imp数（全体）,Imp数（ハッシュタグ）,リーチ数,いいね数,いいね率,保存数,保存率,エンゲージメント率,使用ハッシュタグ数,人気投稿掲載数,ハッシュタグ,人気投稿掲載タグ
2023/04/15 12:01,Sat,カルーセル(3),10228,6997,561,5847,229,2.24%,39,0.38%,0.0244325,30,2,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街カフェ #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田カフェ #大阪 #大阪グルメ #大阪スイーツ #大阪カフェ #大阪パフェ #大阪グルメ情報 #食レポ #シルクレーム #桜スイーツ #桜パフェ #スイーツ好き #甘いもの #カフェ活 #甘党 #食後のデザート #パフェ部 #スウィーツ #阪急三番街_カフェスイーツ ,#hankyusanbangai #イロドリ三番街 
2023/04/16 12:00,Sun,カルーセル(3),10228,5720,506,4859,182,1.78%,18,0.18%,0.0182266,30,1,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #umedafoodhall #ウメダフードホール #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街カフェ #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田カフェ #梅田ケーキ #大阪 #大阪グルメ #大阪スイーツ #大阪カフェ #大阪ケーキ #大阪グルメ情報 #アンドコーヒー #メゾンカイザー #タルトモンジュ #スイーツ好き #甘いもの #カフェ活 #甘党 #食後のデザート #阪急三番街_カフェスイーツ ,#イロドリ三番街 
2023/04/22 12:00,Sat,カルーセル(6),10228,9505,1314,8550,239,2.34%,89,0.87%,0.0298888,30,2,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街カフェ #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田カフェ #梅田パンケーキ #大阪 #大阪グルメ #大阪スイーツ #大阪カフェ #大阪パンケーキ #大阪グルメ情報 #食レポ #あずさ珈琲 #苺スイーツ #苺パンケーキ #ダッチベイビーパンケーキ #スイーツ好き #甘いもの #カフェ活 #甘党 #信州グルメ #阪急三番街_カフェスイーツ ,#hankyusanbangai #イロドリ三番街 
2023/04/23 12:00,Sun,カルーセル(6),10228,6082,17,5137,219,2.14%,27,0.26%,0.0224966,30,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街カフェ #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田カフェ #大阪 #大阪グルメ #大阪スイーツ #大阪カフェ #大阪パフェ #大阪グルメ情報 #食レポ #帝塚山季 #和スイーツ #和パフェ #スイーツ好き #甘いもの #カフェ活 #パフェ部 #甘党 #食後のデザート #わらび餅パフェ #阪急三番街_カフェスイーツ ,
2023/04/26 08:01,Wed,カルーセル(6),10228,5049,376,4010,186,1.82%,7,0.07%,0.0175934,30,2,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田テイクアウト #大阪 #大阪グルメ #大阪スイーツ #大阪テイクアウト #大阪グルメ情報 #食レポ #ゴディバ #godiva #ショコリキサー #スイーツ好き #甘いもの #甘党 #ご褒美スイーツ #食後のデザート #リフレッシュタイム #チョコレート大好き #阪急三番街_カフェスイーツ #阪急三番街_テイクアウト ,#hankyusanbangai #イロドリ三番街 
2023/04/26 12:01,Wed,画像,10228,4839,529,4332,117,1.14%,11,0.11%,0.011665,27,1,#hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #お子様ランチ #おいしいもの #foodstagram #お子様歓迎 #お子様連れ大歓迎 #子鉄 ,#阪急電車フェスティバル 
2023/04/26 15:00,Wed,画像,10228,4827,129,4365,99,0.97%,9,0.09%,0.00984234,27,0,#hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #お子様ランチ #おいしいもの #foodstagram #お子様歓迎 #お子様連れ大歓迎 #子鉄 ,
2023/04/29 12:00,Sat,カルーセル(2),10228,3660,718,2993,77,0.75%,0,0.00%,0.00703389,30,1,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #大阪おでかけ #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #心斎橋ミツヤ #お子様ランチ #おいしいもの #foodstagram #お子様歓迎 #お子様連れ大歓迎 #子鉄 ,#お子様ランチ 
2023/04/29 15:00,Sat,カルーセル(2),10228,4298,750,3589,85,0.83%,3,0.03%,0.00803873,30,2,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #umedafoodhall #ウメダフードホール #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #関西イベント #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #ミアキッチン #お子様ランチ #おいしいもの #foodstagram #お子様歓迎 #お子様連れ大歓迎 #子鉄 ,#大阪梅田 #梅田イベント 
2023/04/29 18:00,Sat,カルーセル(2),10228,3492,390,2954,82,0.80%,0,0.00%,0.00748517,30,0,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田イベント #大阪 #大阪グルメ #大阪ランチ #大阪イベント #関西イベント #ゴールデンウィーク #ゴールデンウィークイベント #阪急電車フェスティバル #阪急電車 #阪急電鉄 #阪急電車コラボ #とろさば料理専門店sabar #サバー #お子様ランチ #おいしいもの #foodstagram #お子様歓迎 #お子様連れ大歓迎 #子鉄 ,
